year,month,carrier,carrier_name,airport,airport_name,year,month,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,violated_rule
2004,11,EV,Atlantic Southeast Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004,11,30.0,7.0,3.51,3.51,-0.01,0.0,0.0,0.0,0.0,414.0,199.0,216.0,-1.0,0.0,0.0,non_negative_numeric
2003,8,B6,JetBlue Airways,SLC,"Salt Lake City, UT: Salt Lake City International",2003,8,62.0,11.0,5.22,0.79,0.66,0.07,4.25,0.0,0.0,1097.0,660.0,93.0,-19.0,10.0,353.0,non_negative_numeric
