year,month,carrier,carrier_name,airport,airport_name,year,month,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,violated_rule
2023,6,MQ,Envoy Air,EUG,"Eugene, OR: Mahlon Sweet Field",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,MQ,Envoy Air,FSD,"Sioux Falls, SD: Joe Foss Field",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,MQ,Envoy Air,GRB,"Green Bay, WI: Green Bay Austin Straubel International",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,MQ,Envoy Air,HPN,"White Plains, NY: Westchester County",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,MQ,Envoy Air,MLI,"Moline, IL: Quad Cities International",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,MQ,Envoy Air,RIC,"Richmond, VA: Richmond International",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,MQ,Envoy Air,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,MQ,Envoy Air,RST,"Rochester, MN: Rochester International",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,OO,SkyWest Airlines Inc.,MLU,"Monroe, LA: Monroe Regional",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,OO,SkyWest Airlines Inc.,SPI,"Springfield, IL: Abraham Lincoln Capital",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,PT,Piedmont Airlines,PWM,"Portland, ME: Portland International Jetport",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,QX,Horizon Air,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,6,YV,Mesa Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",2023,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,5,F9,Frontier Airlines,BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",2023,5,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,5,ZW,Air Wisconsin Airlines Corp,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",2023,5,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,4,C5,CommuteAir LLC dba CommuteAir,SYR,"Syracuse, NY: Syracuse Hancock International",2023,4,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,4,G7,GoJet Airlines LLC d/b/a United Express,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",2023,4,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,4,YX,Republic Airline,FSD,"Sioux Falls, SD: Joe Foss Field",2023,4,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,4,ZW,Air Wisconsin Airlines Corp,PVD,"Providence, RI: Rhode Island Tf Green International",2023,4,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,3,MQ,Envoy Air,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",2023,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,3,MQ,Envoy Air,DAY,"Dayton, OH: James M Cox/Dayton International",2023,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,3,MQ,Envoy Air,FNT,"Flint, MI: Bishop International",2023,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,3,OO,SkyWest Airlines Inc.,LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",2023,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,3,PT,Piedmont Airlines,CWA,"Mosinee, WI: Central Wisconsin",2023,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,3,PT,Piedmont Airlines,DAY,"Dayton, OH: James M Cox/Dayton International",2023,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,3,YV,Mesa Airlines Inc.,BUR,"Burbank, CA: Bob Hope",2023,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,3,YV,Mesa Airlines Inc.,MLI,"Moline, IL: Quad Cities International",2023,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,2,YV,Mesa Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",2023,2,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,1,DL,Delta Air Lines Network,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",2023,1,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,1,G7,GoJet Airlines LLC d/b/a United Express,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",2023,1,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,1,G7,GoJet Airlines LLC d/b/a United Express,GRR,"Grand Rapids, MI: Gerald R. Ford International",2023,1,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,1,YV,Mesa Airlines Inc.,PNS,"Pensacola, FL: Pensacola International",2023,1,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2023,1,ZW,Air Wisconsin Airlines Corp,OKC,"Oklahoma City, OK: Will Rogers World",2023,1,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,11,OO,SkyWest Airlines Inc.,HRL,"Harlingen/San Benito, TX: Valley International",2022,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,10,DL,Delta Air Lines Network,OAK,"Oakland, CA: Metro Oakland International",2022,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,10,OO,SkyWest Airlines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",2022,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,10,YV,Mesa Airlines Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",2022,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,9,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2022,9,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,8,C5,"Commutair Aka Champlain Enterprises, Inc.",ROC,"Rochester, NY: Greater Rochester International",2022,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,8,G7,GoJet Airlines LLC d/b/a United Express,MSP,"Minneapolis, MN: Minneapolis-St Paul International",2022,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,8,ZW,Air Wisconsin Airlines Corp,ALB,"Albany, NY: Albany International",2022,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,8,ZW,Air Wisconsin Airlines Corp,SAV,"Savannah, GA: Savannah/Hilton Head International",2022,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,7,YV,Mesa Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",2022,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,5,G7,GoJet Airlines LLC d/b/a United Express,ALB,"Albany, NY: Albany International",2022,5,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,5,ZW,Air Wisconsin Airlines Corp,CHS,"Charleston, SC: Charleston AFB/International",2022,5,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,4,OO,SkyWest Airlines Inc.,LNK,"Lincoln, NE: Lincoln Airport",2022,4,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,4,YX,Republic Airline,GRB,"Green Bay, WI: Green Bay Austin Straubel International",2022,4,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,1,C5,"Commutair Aka Champlain Enterprises, Inc.",ORF,"Norfolk, VA: Norfolk International",2022,1,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,1,MQ,Envoy Air,COU,"Columbia, MO: Columbia Regional",2022,1,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
